result,result.1,result.2,result.3,result.4,result.5,result.6,result.7,result.8,result.9,result.10,result.11,result.12,result.13,result.14,result.15,result.16,result.17,result.18,result.19,result.20,result.21,result.22,result.23,result.24,result.25,result.26,result.27,result.28,result.29,result.30,result.31,result.32,result.33,result.34,result.35,result.36,result.37,result.38,result.39,result.40,result.41,result.42,result.43,result.44,result.45,result.46,result.47,result.48,result.49
0.1,0.984582617,0.997824825,0.1,0.984466521,0.100000001,0.991137623,0.99128327,0.100000001,0.100000002,1.004452439,0.990593849,0.985762833,0.100000002,0.999999865,0.1,0.995924365,0.994273912,0.992169611,0.993247073,0.992441995,1.004818063,0.988687376,0.100000003,0.100000001,0.1,1.000437012,1.002474235,0.989875331,1.00633685,0.1,0.988184277,0.993033101,0.997962284,0.99287874,0.986739515,0.987800267,0.994273745,0.993471141,0.993357972,1.001445164,0.100000001,0.1,0.988429496,0.100000001,0.997432568,0.100000004,0.1,1.001445233,0.994076671
0.997132848,0.10000001,0.1,0.984582199,0.1,0.99796244,0.996658267,0.993320846,0.983255003,0.988686969,0.1,0.983627556,0.989245885,0.999328714,0.1,0.983824269,0.995924435,0.987307484,0.995652931,1.005063235,0.996516928,0.993247273,0.988687054,0.991433078,0.993704366,0.989764231,0.989987572,0.996953568,0.99684119,0.994765969,0.99059379,0.998633451,0.999328595,0.991912148,0.100000003,0.99022153,0.1,0.990790601,0.984467642,0.989874836,1.002037041,0.99999963,0.993704463,0.988429352,0.994982553,0.1,0.994916578,0.994314421,0.999999631,0.996114203
0.980760851,0.10000001,0.1,0.98458249,0.1,0.978107112,0.987654446,0.984316968,0.979771943,0.9782376,0.1,0.976661332,0.1,0.982583973,0.1,1,0.990995625,1,0.985203297,0.986280769,0.981993,0.986280885,0.981721052,1.000000003,1.000000001,0.980760427,0.986504427,0.989987199,0.98842931,0.987799465,1,0.981217975,0.986066797,0.982908589,0.982428103,0.1,0.975314075,0.983823959,0.980984589,0.98290868,1,0.994479051,0.98818382,0.981463228,0.981722493,0.1,0.987950299,1,0.987512638,0.990593545
0.989764284,0.10000001,0.1,0.984582404,0.1,0.985073268,0.987654437,0.998249609,0.100000001,0.990724438,0.986171893,0.983627564,0.987800217,0.997108454,0.1,0.987307735,0.995924435,0.992828302,0.997690441,0.995284762,0.993563171,1.000805457,0.996245139,0.99347063,0.997962194,0.994022013,0.998075186,1.003248893,0.989875008,0.996803517,0.99611442,0.996750561,0.999999609,1,0.100000003,0.997187824,0.1,0.987307399,0.984467667,0.995395451,1.000774157,0.999083456,0.999754611,0.998878624,0.997691007,0.986982621,0.991433451,0.991747423,0.999083426,1.001634903
0.98424362,0.10000001,0.1,0.97906174,0.1,0.976069746,0.982133697,0.999999999,0.100000001,0.976200818,0.1,0.97462382,0.982279511,0.989550272,0.1,0.981787071,0.990403766,0.985270096,0.995652883,0.989764096,0.985475627,0.996730447,0.986649469,0.982428927,0.988183694,0.984243565,0.991433196,0.999999504,0.984354343,0.989245304,0.993639671,0.990750953,0.99507082,0.990649275,0.100000003,0.986738319,0.1,0.981786492,0.978947029,0.99376013,0.995253492,0.988958389,0.993112593,0.993357955,0.992945093,0.981462007,0.982429718,0.986226762,0.992441398,0.995522357
0.986810611,0.10000001,0.1,0.99615331,0.1,0.985073248,1,0.987800198,0.988183953,0.981720677,0.980652216,0.982711355,0.980242043,0.990324901,0.1,0.988753462,0.996326696,0.988753268,0.996427623,1.000000001,0.988042528,0.98976414,0.985203848,0.991433104,0.990750705,0.988501343,0.984466914,0.991432903,0.992920797,0.996803582,0.990593721,0.988183995,0.996918681,0.988958471,0.990170275,0.983255233,0.976758973,0.996583055,0.984467323,0.986391646,0.996516382,1.000000001,0.993112593,0.984946048,0.988687276,0.981462007,0.991835646,0.993595289,0.996516475,0.994076709
0.980760851,0.977616301,0.98389197,0.990877806,0.1,0.981590135,1.001891727,0.989837638,0.979771939,0.981720706,0.986172872,0.991185722,0.978796536,0.989550272,0.983254716,0.987307751,0.998736613,0.992828276,0.993291109,0.997851733,0.990080107,0.9932473,0.992761993,0.989987467,0.990221259,0.987726717,0.993470754,0.995507937,0.989874929,0.998841096,0.991715076,0.986738381,1,0.989874659,0.994916271,0.986738356,0.982279589,0.994865714,0.984467319,0.994958181,0.996516371,0.997291118,0.99370452,0.989550509,0.987241732,0.989020596,0.9920253,0.991747412,1,0.995198043
0.1,0.10000001,0.1,0.1,0.984467153,0.100000002,0.1,0.1,0.100000001,0.100000002,0.1,0.1,0.984317066,0.100000002,0.986738266,0.1,0.1,0.1,0.1,0.100000001,0.1,0.986280899,0.1,0.100000004,0.100000001,0.1,0.986504427,0.995507937,0.986391856,0.987799465,0.1,0.1,0.1,0.1,0.100000004,0.1,0.1,0.983823959,0.992026442,0.1,0.1,0.100000001,0.1,0.1,0.1,0.986983024,0.100000005,0.1,0.987512672,0.990593545
0.1,1.00000001,1.005912333,0.993586329,0.984466521,0.100000001,0.994620747,0.99128327,0.986738288,0.985204122,0.999434552,1,0.985762833,0.989550258,0.997187822,0.992828413,1.00348264,1.004052434,0.992169611,0.993247073,0.995925063,1.000213603,1.001576152,0.996953767,0.991666582,0.991209869,1.007995221,1.00504119,0.99335816,1.005807399,0.994076943,0.988184277,0.996516395,0.995395319,1.005768316,0.990221578,0.999999998,0.999794495,0.996037467,1.003136358,0.997961996,0.994478606,0.995150121,0.993949864,0.988688714,1.00552025,0.987951009,0.989709808,1.004928417,1.001043012
0.1,0.10000001,0.1,0.1,0.999999996,0.981590485,0.1,0.98780012,0.100000001,0.100000002,0.986171671,0.980144485,1,0.100000002,0.994825952,0.1,0.988957725,0.987307483,0.988686447,0.98976392,0.990996292,0.989764042,0.985204222,0.100000004,0.100000001,0.1,0.989987579,1.005520168,1,0.991282617,0.1,0.99166716,0.1,0.986391882,0.100000004,0.1,0.978797222,0.990790601,1.000000158,0.986391831,0.99447887,0.100000001,0.1,0.984946322,0.1,0.997432568,0.100000005,0.1,0.999999631,0.998681198
